school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,Others Comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Business Management ,"This course addresses the fundamentals of how managing the organisational structure and policies for the cooperate development. You will be able to understand the strategic plans, financial management for the project you may lead",6 Semester,50,,,,,,,,"7,8,9,10",3,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,3 Years,1, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Hospitality and Tourism Management ,"You will learn to think and communicate effectively, know the business strategy of tourism industry, hospitality management services related to client satisfaction with the knowledge about the hospitality law and ethics.",6 Semester,50,,,,,,,,"6,7,8,9,10",2,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,3 Years,1, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Health and Social Care Management ,"Business culture changes rapidly over the time among the sectors. You will be introduced to know the bicultural practise of health care community development, examining the theories of practise under social, political and environmental factors associated with health care associations.",6 Semester,50,,,,,,,,"13,14,16",23,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,3 Years,1, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Information Technology Management ,You will learn the technological concepts of computer science along the business factors administration and management. You will be prepared to know the technical disruptions and problem solving methodology.,6 Semester,50,,,,,,,,"1,2,5",24,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,3 Years,1, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Master in Business Management,This course addresses how companies develop business and manage the organisational structure and suggest policies for the cooperate development. You will be prepared to suggest strategic plans to manage operations and carry economic responsibilities of the firm globally and domestically.,4 Semester,50,,,,,,,,"7,8,9,10",3,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,2 Years,2, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Master in Hospitality and Tourism Management,"This course will equip you will the knowledge about Hospitality and Tourism Industry which includes the ethics and law of hospitality, customer focus and quality service, tourist attractions and destinations as its one of the critical aspect of Hospitality and Tourism Industry.",4 Semester,50,,,,,,,,"6,7,8,9,10",2,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,2 Years,2, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Master in Health and Social Care Management,"You will understand the in-depth concepts on ethical, legal, social factors used in this sector. You will also be focusing on the emerging issues with the social care sectors together with the strategic skills required for problem solving.",4 Semester,50,,,,,,,,"13,14,16",23,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,2 Years,2, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,Master in Information Technology and Management,Endow you with the skills on handling technological changes. The program includes topics which will enable you to critically analysis on the existing operations and move further to development of the company’s technology trend.,4 Semester,50,,,,,,,,"1,2,5",24,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,2 Years,2, Without IELTS also Accepted,,,,,
Sevanan Business School,We set our base in Europe which is coupled with this strict governing and quality assessment and has always placed a high value on the delivery of best-quality education and boasts a great many higher education opportunities.,"Holekova 103/31, 150 00 Praha-Smíchov, Czechia",czech republic,"1,4",2000,300,yes,yes,yes,yes,no,yes,2015,"Master in Fashion ,Design and Luxury Design Management ","Postgraduate Diploma in Fashion, Design and Luxury Brand Management is designed to provide, focused and specialist courses, linked to professional body requirements and National Occupational Standards where appropriate, with a clear work related emphasis. There is a strong emphasis on practical skills development alongside the development of requisite knowledge and understanding in the sector",4 Semester,50,,,,,,,,"6,8,21",3,300,200,3000,20,Euro,20 days,"1,2,3,4,5,6,7,8,9,10,11,12",,2 Years,2, Without IELTS also Accepted,,,,,
